ch_name,X_ML,Y_AP,Z_DV,Etc.
FP1,-1.461,3.457,0.437357631,
FP2,1.461,3.457,0.437357631,
AF3,-1.461,2.396,0.328018223,
AF4,1.461,2.396,0.328018223,
AF7,-2.147,2.396,0.482915718,
AF8,2.147,2.396,0.482915718,
F1,-1.461,1.131,0.23690205,
F2,1.461,1.131,0.23690205,
F5,-2.396,1.131,0.501138952,
F6,2.396,1.131,0.501138952,
FC1,-1.71,0,0.264236902,
FC2,1.71,0,0.264236902,
FC5,-3.243,0,0.738041002,
FC6,3.243,0,0.738041002,
C1,-1.559,-0.989,0.118451025,
C2,1.559,-0.989,0.118451025,
C3,-2.512,-0.989,0.291571754,
C4,2.512,-0.989,0.291571754,
C5,-3.51,-0.989,0.765375854,
C6,3.51,-0.989,0.765375854,
CP1,-1.666,-2.254,0.027334852,
CP2,1.666,-2.254,0.027334852,
CP3,-2.673,-2.254,0.118451025,
CP4,2.673,-2.254,0.118451025,
CP5,-3.67,-2.254,0.61047836,
CP6,3.67,-2.254,0.61047836,
P1,-1.684,-3.332,0.018223235,
P2,1.684,-3.332,0.018223235,
P3,-2.949,-3.332,0.346241458,
P4,2.949,-3.332,0.346241458,
P5,-4.009,-3.332,0.84738041,
P6,4.009,-3.332,0.84738041,
PO3,-1.675,-4.695,0.291571754,
PO4,1.675,-4.695,0.291571754,
PO7,-2.619,-4.695,0.464692483,
PO8,2.619,-4.695,0.464692483,
O1,-1.76,-5.702,0.4738041,reference
O2,1.764,-5.702,0.4738041,ground
